 CHR_A         BP_A        SNP_A      MAF_A  CHR_B         BP_B        SNP_B      MAF_B           R2 
     6     14744856   6:14744856  0.0819672      6     13688273   6:13688273   0.278689    0.0458556 
     6     14744856   6:14744856  0.0819672      6     13688675   6:13688675   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13688952   6:13688952    0.42623    0.0110243 
     6     14744856   6:14744856  0.0819672      6     13688957   6:13688957   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13689694   6:13689694   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13690612   6:13690612   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13690635   6:13690635    0.42623    0.0110243 
     6     14744856   6:14744856  0.0819672      6     13690941   6:13690941   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13691548   6:13691548   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13691568   6:13691568    0.42623    0.0110243 
     6     14744856   6:14744856  0.0819672      6     13691583   6:13691583    0.42623    0.0110243 
     6     14744856   6:14744856  0.0819672      6     13691625   6:13691625    0.42623    0.0110243 
     6     14744856   6:14744856  0.0819672      6     13691828   6:13691828   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13692422   6:13692422   0.344262    0.0258673 
     6     14744856   6:14744856  0.0819672      6     13692714   6:13692714   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13692921   6:13692921   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13693288   6:13693288   0.114754    0.0115741 
     6     14744856   6:14744856  0.0819672      6     13693547   6:13693547   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13693706   6:13693706   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13694061   6:13694061   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13694438   6:13694438   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13694714   6:13694714   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13695151   6:13695151   0.327869   0.00210801 
     6     14744856   6:14744856  0.0819672      6     13697177   6:13697177   0.180328      0.10639 
     6     14744856   6:14744856  0.0819672      6     13697716   6:13697716   0.131148    0.0134771 
     6     14744856   6:14744856  0.0819672      6     13697998   6:13697998   0.163934    0.0363025 
     6     14744856   6:14744856  0.0819672      6     13698026   6:13698026  0.0983607    0.0104004 
     6     14744856   6:14744856  0.0819672      6     13698077   6:13698077   0.295082    0.0373754 
     6     14744856   6:14744856  0.0819672      6     13698179   6:13698179   0.344262    0.0258673 
