 CHR_A         BP_A    SNP_A      MAF_A  CHR_B         BP_B    SNP_B      MAF_B           R2 
     2        38586  2:38586   0.278689      2         2419   2:2419   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         2427   2:2427   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         2438   2:2438   0.295082     0.230114 
     2        38586  2:38586   0.278689      2         2714   2:2714  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2         2951   2:2951  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2         2970   2:2970   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         3310   2:3310   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         3329   2:3329   0.180328     0.569412 
     2        38586  2:38586   0.278689      2         4471   2:4471   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         4512   2:4512  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2         4688   2:4688   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         4836   2:4836   0.180328     0.569412 
     2        38586  2:38586   0.278689      2         4917   2:4917   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         6147   2:6147   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         6368   2:6368   0.459016     0.361715 
     2        38586  2:38586   0.278689      2         6418   2:6418   0.459016     0.361715 
     2        38586  2:38586   0.278689      2         7007   2:7007  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2         7028   2:7028  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2         7044   2:7044  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2         7241   2:7241   0.459016     0.361715 
     2        38586  2:38586   0.278689      2         7346   2:7346  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2         7733   2:7733  0.0819672    0.0344968 
     2        38586  2:38586   0.278689      2         7806   2:7806   0.180328     0.569412 
     2        38586  2:38586   0.278689      2         7827   2:7827  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2         8060   2:8060   0.180328     0.569412 
     2        38586  2:38586   0.278689      2         8153   2:8153  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2         8254   2:8254   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         8570   2:8570  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2         9049   2:9049   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         9186   2:9186   0.459016     0.361715 
     2        38586  2:38586   0.278689      2         9239   2:9239   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2         9405   2:9405   0.180328     0.569412 
     2        38586  2:38586   0.278689      2         9780   2:9780   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        10235  2:10235  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        10418  2:10418   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        10516  2:10516  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        10674  2:10674  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        11344  2:11344   0.180328     0.569412 
     2        38586  2:38586   0.278689      2        11474  2:11474  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        12297  2:12297   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        12401  2:12401   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        12791  2:12791  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        13130  2:13130   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        14235  2:14235  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2        14329  2:14329  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        14339  2:14339  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        14657  2:14657   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        15184  2:15184   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        15456  2:15456   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        15514  2:15514   0.180328     0.569412 
     2        38586  2:38586   0.278689      2        15853  2:15853   0.180328     0.569412 
     2        38586  2:38586   0.278689      2        15967  2:15967  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        18401  2:18401    0.42623     0.287013 
     2        38586  2:38586   0.278689      2        19702  2:19702   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        20236  2:20236   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        20291  2:20291   0.459016     0.361715 
     2        38586  2:38586   0.278689      2        20312  2:20312  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2        20434  2:20434  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2        21558  2:21558  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        21632  2:21632   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        22707  2:22707  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        23005  2:23005   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        23071  2:23071   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        23080  2:23080  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        23081  2:23081  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        25396  2:25396   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        25703  2:25703   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        25714  2:25714  0.0819672     0.120708 
     2        38586  2:38586   0.278689      2        25798  2:25798   0.459016     0.361715 
     2        38586  2:38586   0.278689      2        26040  2:26040  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        26112  2:26112   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        26214  2:26214   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        26351  2:26351   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        27597  2:27597  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        27854  2:27854   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        28261  2:28261  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        28942  2:28942  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        29139  2:29139  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        29605  2:29605   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        29608  2:29608  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        29656  2:29656   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        30194  2:30194   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        30717  2:30717  0.0655738     0.181631 
     2        38586  2:38586   0.278689      2        31188  2:31188  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2        31362  2:31362   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        32705  2:32705   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        33240  2:33240   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        37756  2:37756   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        37962  2:37962   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        38170  2:38170   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        38401  2:38401  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        38420  2:38420   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        38586  2:38586   0.278689            1 
     2        38586  2:38586   0.278689      2        38785  2:38785   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        38919  2:38919   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        38956  2:38956   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        39689  2:39689  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2        39792  2:39792   0.180328     0.569412 
     2        38586  2:38586   0.278689      2        39960  2:39960  0.0819672     0.231092 
     2        38586  2:38586   0.278689      2        41018  2:41018   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        41151  2:41151   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        42223  2:42223   0.180328     0.569412 
     2        38586  2:38586   0.278689      2        42244  2:42244   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        42336  2:42336   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        44018  2:44018   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        44126  2:44126   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        44172  2:44172   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        44239  2:44239   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        44848  2:44848   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        44987  2:44987   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        45016  2:45016   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        45119  2:45119   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        45149  2:45149   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        45276  2:45276   0.295082     0.230114 
     2        38586  2:38586   0.278689      2        45429  2:45429   0.180328     0.569412 
     2        38586  2:38586   0.278689      2        46305  2:46305  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2        47032  2:47032  0.0983607     0.282353 
     2        38586  2:38586   0.278689      2        47059  2:47059   0.180328     0.569412 
     2        38586  2:38586   0.278689      2        47617  2:47617   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        47669  2:47669   0.114754    0.0500842 
     2        38586  2:38586   0.278689      2        47693  2:47693   0.295082     0.230114 
