 CHR_A         BP_A       SNP_A      MAF_A  CHR_B         BP_B       SNP_B      MAF_B           R2 
     1      2535189   1:2535189   0.131148      1      2190874   1:2190874    0.47541    0.0743153 
     1      2535189   1:2535189   0.131148      1      2190978   1:2190978    0.47541    0.0743153 
     1      2535189   1:2535189   0.131148      1      2191199   1:2191199   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2191350   1:2191350   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2191746   1:2191746    0.42623   0.00161984 
     1      2535189   1:2535189   0.131148      1      2191851   1:2191851   0.393443  0.000215133 
     1      2535189   1:2535189   0.131148      1      2193256   1:2193256  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2194171   1:2194171  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2194217   1:2194217   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2194275   1:2194275  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2194349   1:2194349  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2194402   1:2194402   0.229508    0.0449619 
     1      2535189   1:2535189   0.131148      1      2194869   1:2194869  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2194936   1:2194936  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2194939   1:2194939   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2194951   1:2194951   0.295082     0.150176 
     1      2535189   1:2535189   0.131148      1      2195017   1:2195017  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2195093   1:2195093   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2196444   1:2196444   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2197419   1:2197419   0.262295    0.0147045 
     1      2535189   1:2535189   0.131148      1      2197429   1:2197429   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2197540   1:2197540   0.213115    0.0408805 
     1      2535189   1:2535189   0.131148      1      2197672   1:2197672   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2197752   1:2197752   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2197760   1:2197760   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2198393   1:2198393   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2198487   1:2198487   0.295082    0.0304715 
     1      2535189   1:2535189   0.131148      1      2198488   1:2198488   0.295082    0.0304715 
     1      2535189   1:2535189   0.131148      1      2198623   1:2198623   0.213115    0.0408805 
     1      2535189   1:2535189   0.131148      1      2198867   1:2198867   0.213115   0.00698854 
     1      2535189   1:2535189   0.131148      1      2198927   1:2198927  0.0819672     0.350539 
     1      2535189   1:2535189   0.131148      1      2199052   1:2199052  0.0983607     0.274557 
     1      2535189   1:2535189   0.131148      1      2199094   1:2199094   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2199210   1:2199210   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2199304   1:2199304   0.196721    0.0369657 
     1      2535189   1:2535189   0.131148      1      2199325   1:2199325   0.262295    0.0147045 
     1      2535189   1:2535189   0.131148      1      2199785   1:2199785  0.0983607     0.274557 
     1      2535189   1:2535189   0.131148      1      2200193   1:2200193  0.0819672    0.0134771 
     1      2535189   1:2535189   0.131148      1      2200380   1:2200380   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2200472   1:2200472   0.196721   0.00271146 
     1      2535189   1:2535189   0.131148      1      2201760   1:2201760   0.213115   0.00698854 
     1      2535189   1:2535189   0.131148      1      2201824   1:2201824   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2202005   1:2202005   0.213115    0.0408805 
     1      2535189   1:2535189   0.131148      1      2202996   1:2202996   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2203388   1:2203388   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2203401   1:2203401   0.245902    0.0492207 
     1      2535189   1:2535189   0.131148      1      2203415   1:2203415   0.229508   0.00932285 
     1      2535189   1:2535189   0.131148      1      2203493   1:2203493   0.213115    0.0012246 
     1      2535189   1:2535189   0.131148      1      2204201   1:2204201   0.213115    0.0012246 
